,Тип исследовании,Показатели UZ,Показатели RU,Long common name,LOINC, Единицы,Норма
lab-pan-L,,O'n ikki barmoqli ichak shirasi tahlili,Исследование дуоденального сока,,,,
lab-pan-234,,Oshqozon tarkibi hajmi,Объем желудочного содержимого,Gastric juice volume,,ml,
lab-pan-235,,Erkin HCl,Свободная HCl,Gastric free hydrochloric acid,,,
lab-pan-236,,Umumiy kislotalilik,Общая кислотность,Total gastric acidity,,,
lab-pan-237,,O'n ikki barmoq ichakka o'tish vaqti,Время перехода в дуоденум,Time to duodenal passage,,,
lab-pan-238,,Rentgen nazorati,Рентген контроль,X-ray control performed,,,
lab-pan-239,,A porsiya - ajralish vaqti,Порция A – время выделения,Duodenal fluid portion A excretion time,,мин,
lab-pan-240,,A porsiya - hajmi,Порция A – объем,Duodenal fluid portion A volume,,мл,
lab-pan-241,,A porsiya - rangi,Порция A – цвет,Duodenal fluid portion A color,,светло-желтый,
lab-pan-242,,A porsiya - shaffofligi,Порция A – прозрачность,Duodenal fluid clarity,,прозрачная,
lab-pan-243,,A porsiya - mikroskopiya,Порция A – микроскопия,Duodenal fluid microscopy,,без патологии,
lab-pan-244,,B porsiya - ajralish vaqti,Порция B – время выделения,Duodenal fluid portion B excretion time,, мин,
lab-pan-245,,B porsiya - hajmi,Порция B – объем,Duodenal fluid portion B volume,, мл,
lab-pan-246,,B porsiya - rangi,Порция B – цвет,Duodenal fluid portion B color,,темно-желтый,
lab-pan-247,,B porsiya - billurbin ko'rsatgichi,Порция B – билирубин индекс,Bilirubin index in duodenal fluid,, мг/дл,
lab-pan-248,,B porsiya - mikroskopiya,Порция B – микроскопия,Duodenal fluid microscopy,,без патологии,
lab-pan-249,,C porsiya - ajralish vaqti,Порция C – время выделения,Duodenal fluid portion C excretion time,, мин,
lab-pan-250,,C porsiya - hajmi,Порция C – объем,Duodenal fluid portion C volume,, мл,
lab-pan-251,,C porsiya rangi,Порция C – цвет,Duodenal fluid portion C color,,светло-желтый,
lab-pan-252,,C porsiya  - shaffofligi,Порция C – прозрачность,Duodenal fluid clarity,,прозрачная,
lab-pan-253,,C porsiya - mikroskopiya,Порция C – микроскопия,Duodenal fluid microscopy,96713-3,без патологии,
lab-pan-254,,Billurbin,Билирубин,Bilirubin.total [Mass/volume] in Body fluid,1974-5, мг/дл,
lab-pan-255,,O't kislotalari,Желчные кислоты,Bile acid [Moles/volume] in Serum or Plasma, 14628-2,ммол/л,
lab-pan-256,,Xolesterin,Холестерин,Cholesterol [Mass/volume] in Serum or Plasma,2093-3, ммол/л,
lab-pan-257,,Xolat-xolestering koeffisenti,Холато-холестериновый коэффициент,Cholate-cholesterol ratio,,ratio,
lab-pan-258,,"Flora A, B, C","Флора A, B, C",Bacterial flora in bile,,qualitative,