,Тип исследовании,Показатели UZ,Показатели RU,Long common name,LOINC,Единицы ,Relationship,Норма
lab-pan-N,,Suyak ilik punktati tahlili,Анализ пунктата костного мозга,Bone marrow aspirate analysis,,,,
lab-pan-277,,Miyelokariotsitlar soni ,Количество миелокариоцитов,Nucleated cells [#/volume] in Bone marrow,55792-6	,,,"50,0-150,0 минг 1мкл /50,0-150,0х109/л-СИ бирлик/"
lab-pan-278,,Megakariotsitlar soni,Количество мегакариоцитов,Megakaryocytes [Presence] in Bone marrow by Light microscopy,40688-4,,,"23,0-103,0 1 мкл/0,023-0, 103х109/л-СИ бирлик/"
lab-pan-279,,Yetilmagan blastlar,Незрелые бласты,Blasts/cells in Bone marrow,11150-0,,,"0,7-1,3"
lab-pan-280,,Miyeloblastlar,Миелобласты,Myeloblasts/cells in Bone marrow by Manual count,11113-8,,,"0,1-0,3"
lab-pan-281,,Promiyelotsitlar,Промиелоциты,Promyelocytes/cells in Bone marrow by Manual count,11120-3,,,"0,9-1,6"
lab-pan-282,,Miyelotsitlar,Миелоциты,Myelocytes/cells in Bone marrow by Manual count,11114-6,,,"8,9-13,9"
lab-pan-283,,Metamiyelotsitlar,Метамиелоциты,Metamyelocytes/cells in Bone marrow by Manual count,11111-2,,,"11,2-14,6"
lab-pan-284,,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,Band form neutrophils/cells in Bone marrow by Manual count,11103-9,,,"12,0-18,0"
lab-pan-285,,Segmentyadrolilar,Сегментоядерные нейтрофилы,Segmented neutrophils/Leukocytes in Bone marrow by Manual count,56960-8,,,"17,9-26,1"
lab-pan-286,,Miyelotsitlar,Миелоциты,,,,,"0,5-0,9"
lab-pan-287,,Metamiyelotsitlar,Метамиелоциты,,,,,"0,1-0,3"
lab-pan-288,,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,,,,,"0-0,2"
lab-pan-289,,Segmentyadrolilar,Сегментоядерные нейтрофилы,,,,,"0,4-1,6"
lab-pan-290,,Miyelotsitlar,Миелоциты,,,,,
lab-pan-291,,Metamiyelotsitlar,Метамиелоциты,,,,,
lab-pan-292,,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,,,,,
lab-pan-293,,Segmentyadrolilar,Сегментоядерные нейтрофилы,,,,,"0-0,6"
lab-pan-294,,Limfoblastlar,Лимфобласты,Lymphoblasts/Leukocytes in Bone marrow by Manual count,50724-4,,,
lab-pan-295,,Prolimfotsitlar,Пролимфоциты,Prolymphocytes/cells in Bone marrow by Manual count,11121-1,,,
lab-pan-296,,Limfotsitlar,Лимфоциты,Lymphocytes/cells in Bone marrow by Manual count,11108-8,,,"9,4-14,4"
lab-pan-297,,Monoblastlar,Монобласты,Monoblasts/Leukocytes in Bone marrow by Manual count,50725-1,,,
lab-pan-298,,Promonotsitlar,Промоноциты,Promonocytes/cells in Bone marrow by Manual count,11122-9,,,
lab-pan-299,,Monotsitlar,Моноциты,Monocytes/cells in Bone marrow by Manual count,11112-0,,,"0,5-1,9"
lab-pan-300,,Leyko-eritroblastik nisbat,Лейко-эритробластическое соотношение,Myeloid cells/Erythroid cells [# Ratio] in Bone marrow,11138-5,,,3:1-4:1
lab-pan-301,,Neytrofillar yetilish indeksi,Индекс созревания нейтрофилов, 	Segmented neutrophils/cells in Bone marrow,11128-6,,,
lab-pan-302,,Proeritroblastlar,Проэритробласты,Pronormoblasts/cells in Bone marrow by Manual count,11124-5,,,"0,8-1,4"
lab-pan-303,,Bazofil eritroblastlar,Базофильные эритробласты,        Normoblasts Basophils/cells in Bone marrow by Manual count,11105-4,,,"0,7-4,3"
lab-pan-304,,Polixromafil eritroblastlar,Полихроматофильные эритробласты,Erythroblasts.polychromatophilic/100 erythroid cells in Bone marrow by Manual count,26463-0,,,"9,0-15,0"
lab-pan-305,,Oksifil eritroblastlar,Оксифильные эритробласты,Normoblasts oxyphilic+polychromatophilic/Normoblasts.total in Bone marrow by Manual count,98127-4,,,"0,3-0,7"
lab-pan-306,,Polixromatofil normoblastlar,Полихроматофильные нормобласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count,11119-5,,,"1,6-4,4"
lab-pan-307,,Oksifil normoblastlar,Оксифильные нормобласты,Normoblasts Orthochromic/cells in Bone marrow by Manual count,11116-1,,,"0,3-0,5"
lab-pan-308,,Promegaloblastlar,Промегалобласты,Megaloblasts/cells in Bone marrow by Manual count,52127-8,,equivalent,
lab-pan-309,,Bazofil megaloblastlar,Базофильные мегалобласты,Megaloblasts/cells in Bone marrow by Manual count,52127-8,,source-is-broader-than-target,
lab-pan-310,,Polixromatofil megaloblastlar,Полихроматофильные мегалобласты,Megaloblasts.polychromatophilic/100 erythroid cells in Bone marrow by Manual count,74454-1,,,
lab-pan-311,,Oksifil megaloblastlar,Оксифильные мегалобласты,Megaloblasts.oxyphilic/100 erythroid cells in Bone marrow by Manual count,74455-8,,,
lab-pan-312,,Megakarioblastlar,Мегакариобласты,Megakaryoblasts/cells in Bone marrow by Manual count,98018-5 	,,,
lab-pan-313,,Promegakariotsitlar,Промегакариоциты,Promegakaryocytes/100 cells in Bone marrow by Manual count,98019-3,,,
lab-pan-314,,Megokariotsitlar,Мегакариоциты,Megakaryocytes/100 cells in Bone marrow by Manual count,11110-4,,,"0-0,2"
lab-pan-315,,Retikulyar hujayralar,Ретикулярные клетки,Reticular cells [#/100 cells] in Bone marrow by Manual count,74459-0,,,"0-0,5"
lab-pan-316,,Plazmoblastlar,Плазмобласты,Plasmablasts/100 leukocytes in Bone marrow by Manual count,26467-1,,,
lab-pan-317,,Proplazmotsitlar,Проплазмоциты,Proplasmocytes/100 leukocytes in Bone marrow by Manual count,74460-8,,,
lab-pan-318,,Plazmotik xujayralar,Плазматические клетки,Plasma cells/cells in Bone marrow by Manual count,11118-7,,,"0,1-0,9"
lab-pan-319,,Xujayralar mitozi granulopoez,Митоз клеток гранулопоэза,Myelopoiesis cells mitosis [Presence] in Bone marrow,74461-6,,,"0,2-0,4"
lab-pan-320,,Eritropoez hujayra mitozi,Митоз клеток эритропоэза,Erythropoiesis assessment in Bone marrow Narrative,74231-2,,,"0,2-1,0"
lab-pan-321,,Eritroblast va normoblastlar sitoplazmasining yetilish indeksi,Индекс зрелости цитоплазмы эритробластов и нормобластов,Cytoplasmic maturation index of erythroid cells in Bone marrow,74463-2,,,"0,73-0,85"